"participant";"straight";"planar_intersection";"valence";"acc";"object";"surface";"pair";"stimsuj";"badtry";"sex";"age"
"part35";"0";"0";0;1;"cyli_c_ni_eld";"cyli";"eld";"1_part35";0;"F";25
"part35";"1";"1";0;0;"cyli_d_i_c";"cyli";"c";"20_part35";0;"F";25
"part35";"0";"1";0;1;"cube_c_i_car";"cube";"car";"22_part35";0;"F";25
"part35";"0";"0";0;1;"cyli_c_ni_splt";"cyli";"splt";"24_part35";0;"F";25
"part35";"1";"0";0;0;"cube_d_ni_el";"cube";"el";"25_part35";0;"F";25
"part35";"1";"1";0;0;"cube_d_i_ca";"cube";"ca";"26_part35";0;"F";25
"part35";"1";"0";0;0;"cyli_d_ni_spe1";"cyli";"spe1";"27_part35";0;"F";25
"part35";"0";"1";0;1;"cone_c_i_tr";"cone";"tr";"28_part35";0;"F";25
"part35";"1";"1";0;0;"cone_d_i_bag";"cone";"bag";"29_part35";0;"F";25
"part35";"0";"0";0;1;"cyli_c_ni_spe1t";"cyli";"spe1t";"2_part35";0;"F";25
"part35";"0";"0";0;1;"cone_c_ni_tr";"cone";"tr";"4_part35";0;"F";25
"part35";"0";"1";0;1;"cone_c_i_ce";"cone";"ce";"5_part35";0;"F";25
"part35";"0";"1";0;1;"sphe_c_i_pc";"sphe";"pc";"6_part35";0;"F";25
"part35";"0";"0";0;1;"cube_c_ni_rec";"cube";"rec";"7_part35";0;"F";25
"part35";"0";"1";0;1;"cube_c_i_rec";"cube";"rec";"8_part35";0;"F";25
"part35";"0";"0";0;1;"cyli_c_ni_splc";"cyli";"splc";"9_part35";0;"F";25
"part36";"0";"0";0;1;"sphe_c_ni_ca";"sphe";"ca";"10_part36";0;"M";20
"part36";"1";"1";1;1;"cube_d_i_ca";"cube";"ca";"11_part36";0;"M";20
